world_region,country_code,country,ccj_id,Gold,Silver,Bronze,total_medals,Ladder score,upperwhisker,lowerwhisker,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual
Sub-Saharan Africa,KEN,Kenya,ccj80,4,2,5,11,4.47,4.595,4.344,1.037,0.895,0.353,0.519,0.282,0.069,1.316
Central and Eastern Europe,OWID_KOS,Kosovo,ccj81,0,1,1,2,6.561,6.667,6.455,1.364,1.277,0.599,0.739,0.254,0.073,2.255
Commonwealth of Independent States,KGZ,Kyrgyzstan,ccj83,0,2,4,6,5.714,5.795,5.632,1.054,1.477,0.588,0.834,0.225,0.03,1.505
Central and Eastern Europe,LTU,Lithuania,ccj90,0,2,2,4,6.818,6.896,6.739,1.766,1.454,0.598,0.533,0.044,0.116,2.307
Southeast Asia,MYS,Malaysia,ccj94,0,0,2,2,5.975,6.078,5.872,1.646,1.143,0.54,0.829,0.226,0.119,1.473
Latin America and Caribbean,MEX,Mexico,ccj100,0,3,2,5,6.678,6.781,6.575,1.521,1.241,0.544,0.722,0.086,0.127,2.437
Commonwealth of Independent States,MDA,Moldova,ccj101,0,1,3,4,5.816,5.93,5.702,1.385,1.277,0.542,0.695,0.077,0.044,1.795
East Asia,MNG,Mongolia,ccj102,0,1,0,1,5.696,5.783,5.61,1.353,1.511,0.4,0.501,0.237,0.055,1.64
Middle East and North Africa,MAR,Morocco,ccj104,1,0,1,2,4.795,4.912,4.677,1.213,0.471,0.495,0.631,0.042,0.082,1.861
Western Europe,NLD,Netherlands,ccj109,15,7,12,34,7.319,7.383,7.256,1.901,1.462,0.706,0.725,0.247,0.372,1.906
North America and ANZ,NZL,New Zealand,ccj110,10,7,3,20,7.029,7.105,6.954,1.81,1.527,0.673,0.746,0.226,0.48,1.567
Western Europe,NOR,Norway,ccj116,4,1,3,8,7.302,7.389,7.215,1.952,1.517,0.704,0.835,0.224,0.484,1.586
South Asia,PAK,Pakistan,ccj118,1,0,0,1,4.657,4.779,4.535,1.069,0.6,0.321,0.542,0.144,0.074,1.907
Latin America and Caribbean,PAN,Panama,ccj120,0,1,0,1,6.9,6.984,6.815,1.84,1.459,0.701,0.73,0.23,0.368,1.572
Latin America and Caribbean,PER,Peru,ccj122,0,0,1,1,5.841,5.946,5.736,1.371,1.18,0.662,0.615,0.078,0.029,1.907
Southeast Asia,PHL,Philippines,ccj123,2,0,2,4,6.048,6.166,5.929,1.232,1.146,0.441,0.826,0.099,0.136,2.167
Central and Eastern Europe,POL,Poland,ccj124,1,4,5,10,6.442,6.513,6.37,1.738,1.417,0.639,0.6,0.081,0.175,1.791
Western Europe,PRT,Portugal,ccj125,1,2,1,4,6.03,6.134,5.925,1.728,1.368,0.699,0.757,0.047,0.035,1.397
Central and Eastern Europe,ROU,Romania‡,ccj128,3,4,2,9,6.491,6.592,6.39,1.699,1.236,0.583,0.717,0.041,0.006,2.21
Central and Eastern Europe,SRB,Serbia,ccj134,3,1,1,5,6.411,6.522,6.3,1.538,1.391,0.585,0.663,0.2,0.101,1.932
Southeast Asia,SGP,Singapore,ccj136,0,0,1,1,6.523,6.605,6.44,2.118,1.361,0.769,0.743,0.168,0.575,0.788
Central and Eastern Europe,SVK,Slovakia,ccj137,0,0,1,1,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,1.683
Central and Eastern Europe,SVN,Slovenia,ccj138,2,1,0,3,6.743,6.843,6.643,1.786,1.502,0.695,0.789,0.157,0.131,1.683
Sub-Saharan Africa,ZAF,South Africa,ccj140,1,3,2,6,5.422,5.549,5.295,1.389,1.369,0.322,0.537,0.078,0.034,1.693
East Asia,KOR,South Korea,ccj141,13,9,10,32,6.058,6.148,5.968,1.815,1.178,0.77,0.555,0.126,0.158,1.456
Western Europe,ESP,Spain,ccj143,5,4,9,18,6.421,6.502,6.339,1.766,1.471,0.729,0.619,0.119,0.177,1.54
Western Europe,SWE,Sweden,ccj147,4,4,3,11,7.344,7.422,7.267,1.878,1.501,0.724,0.838,0.221,0.524,1.658
Western Europe,CHE,Switzerland,ccj148,1,2,5,8,7.06,7.147,6.973,1.97,1.425,0.747,0.759,0.173,0.498,1.488
Southeast Asia,THA,Thailand,ccj153,1,3,2,6,5.976,6.094,5.858,1.484,1.347,0.62,0.756,0.283,0.024,1.463
Middle East and North Africa,TUN,Tunisia,ccj156,1,1,1,3,4.422,4.505,4.338,1.306,0.955,0.579,0.254,0.024,0.018,1.285
Middle East and North Africa,TUR,Turkey,ccj157,0,3,5,8,4.975,5.085,4.866,1.702,1.175,0.631,0.202,0.068,0.115,1.083
Sub-Saharan Africa,UGA,Uganda,ccj159,1,1,0,2,4.372,4.501,4.243,0.772,1.151,0.373,0.587,0.178,0.054,1.256
Commonwealth of Independent States,UKR,Ukraine,ccj160,3,5,4,12,4.873,4.988,4.758,1.35,1.315,0.513,0.631,0.285,0.025,0.753
North America and ANZ,USA,United States‡,ccj163,40,44,42,126,6.725,6.818,6.631,1.939,1.392,0.542,0.586,0.223,0.169,1.873
Commonwealth of Independent States,UZB,Uzbekistan,ccj165,8,2,3,13,6.195,6.303,6.087,1.212,1.394,0.539,0.835,0.251,0.215,1.749
Sub-Saharan Africa,ZMB,Zambia,ccj169,0,0,1,1,4.485,4.625,4.344,0.75,0.684,0.33,0.459,0.324,0.048,1.89
